pricePerUnit;brand;productType;identificationID;dimensions;title;quantityAvailable;mainImage;technicalSheetURL
22.4;Desso;Réemploi;GIZ2302006;50x50;Grain 1908;163;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/1908-XBI7.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/f46fdbeb-e7a1-49bc-97ce-deca514849f0.pdf
11.2;Interface;Réemploi;GIZ2212008;50x50;tatami 361868 Sendai;106;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/2212008-INTERFACE-TATAMI-LOGO-SQdT.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a9a3e313-4465-4741-b646-84b00b6cd92f.pdf
25.2;Interface;Réemploi;GIZ2206001;50x50;Composure Diffuse;53;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/interface-composure-diffuse-logo-mH5z.jpeg;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/a2f044a9-df1b-4439-a7d4-21484d2b3ca5.pdf
22.4;Milliken;Réemploi;GIZ2302003;25x100;Pure Alchemy PUA215-153-250 Tin Matter;57;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/PUA215-153-250-Tin-Matter-DHDY.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/dd9566de-b6b8-407a-b5f8-813b1a9016cb.pdf
25.2;Interface;Réemploi;GIZ2303002;50x50;Composure 4169016 Reserved;64;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/4169016-Reserved-7C2A.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/ef0c064b-f3fc-438f-afbb-b383d64e067a.pdf
30.8;Milliken;Réemploi;GIZ2302009;25x100;LVT Change Agent;35;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/ESN44-Affinity-w05Q.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/3586b734-5049-4789-9f5b-733301624707.pdf
11.2;Modulyss;Réemploi;GIZ2303005;50x50;Online 438;499;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/438-logo-DAfv.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/46d86139-f2d6-4d70-93a0-3a66de4c1562.pdf
22.4;Interface;Réemploi;GIZ2304006;25x100;Equal Measures 551;175;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/EM551-logo-y4D2.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/c29c1167-151d-45e3-a458-924715ea790b.pdf
22.4;Interface;Réemploi;GIZ2303007;25x100;Equal Measures 552;170;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/552-logo-0xvH.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/85645e3a-2714-4dd1-b911-80b14bac4208.pdf
22.4;Interface;Réemploi;GIZ2304005;25x100;Equal Measures 553;425;//cf.appdrag.com/optimal-karpet-21fc7a/uploads/553-logo-G94Y.png;//cf.appdrag.com/optimal-karpet-21fc7a/CloudBackend/files/ce7d46b2-6a5a-4f0a-b430-d64d9774704d.pdf
